id,species,observed_on,place_guess,location,user,latitude,longitude,sex,life_stage,url,year
50190457,Northern Diamondback Terrapin,2020-06-19,"New Jersey, US","39.2746987707,-74.4022908074",margateterrapin,39.2746987707,-74.4022908074,female,adult,https://www.inaturalist.org/observations/50190457,2020
50427517,Northern Diamondback Terrapin,2020-06-21,"New Jersey, US","39.3121066384,-74.5726373928",maggiegoldenberg,39.3121066384,-74.5726373928,female,adult,https://www.inaturalist.org/observations/50427517,2020
50440160,Northern Diamondback Terrapin,2020-06-21,"New Jersey, US","39.2608434844,-74.4218837872",theejoeyc,39.2608434844,-74.4218837872,female,adult,https://www.inaturalist.org/observations/50440160,2020
50546170,Northern Diamondback Terrapin,2020-06-22,"New Jersey, US","39.2410275728,-74.5831827986",d8nia,39.2410275728,-74.5831827986,female,adult,https://www.inaturalist.org/observations/50546170,2020
50552968,Northern Diamondback Terrapin,2020-06-22,"New Jersey, US","39.276859802,-74.5208361299",d8nia,39.276859802,-74.5208361299,female,adult,https://www.inaturalist.org/observations/50552968,2020
50553214,Northern Diamondback Terrapin,2020-06-22,"New Jersey, US","39.2350549272,-74.5852593181",d8nia,39.2350549272,-74.5852593181,female,adult,https://www.inaturalist.org/observations/50553214,2020
51390598,Northern Diamondback Terrapin,2020-06-29,"New Jersey, US","39.3988723849,-74.4337937829",turtlewatch,39.3988723849,-74.4337937829,female,adult,https://www.inaturalist.org/observations/51390598,2020
51394437,Northern Diamondback Terrapin,2020-06-29,"New Jersey, US","39.2581074279,-74.504233846",jimharlan,39.2581074279,-74.504233846,female,,https://www.inaturalist.org/observations/51394437,2020
52609517,Malaclemys terrapin terrapin,2020-07-10,"New Jersey, US","39.3906449241,-74.5293850139",adriana363,39.3906449241,-74.5293850139,female,adult,https://www.inaturalist.org/observations/52609517,2020
52609860,Malaclemys terrapin terrapin,2020-07-10,"New Jersey, US","39.2674790986,-74.419967262",adriana363,39.2674790986,-74.419967262,female,adult,https://www.inaturalist.org/observations/52609860,2020
52611498,Northern Diamondback Terrapin,2020-07-10,"New Jersey, US","39.3380777098,-74.4221544071",adriana363,39.3380777098,-74.4221544071,female,adult,https://www.inaturalist.org/observations/52611498,2020
52612052,Malaclemys terrapin terrapin,2020-07-10,"New Jersey, US","39.3517213773,-74.4775438302",adriana363,39.3517213773,-74.4775438302,female,adult,https://www.inaturalist.org/observations/52612052,2020
53162227,Northern Diamondback Terrapin,2020-07-15,"New Jersey, US","39.4510258999,-74.2345042178",sharlener,39.4510258999,-74.2345042178,female,,https://www.inaturalist.org/observations/53162227,2020
53158990,Northern Diamondback Terrapin,2020-07-15,"New Jersey, US","39.4779309825,-74.333170986",moranca,39.4779309825,-74.333170986,female,,https://www.inaturalist.org/observations/53158990,2020
52818325,Malaclemys terrapin terrapin,2020-07-12,"New Jersey, US","39.7389359459,-74.2859693191",jaburger,39.7389359459,-74.2859693191,female,,https://www.inaturalist.org/observations/52818325,2020
51608896,Malaclemys terrapin terrapin,2020-07-01,"New Jersey, US","39.4809511198,-74.3038177874",lrburger,39.4809511198,-74.3038177874,female,adult,https://www.inaturalist.org/observations/51608896,2020
51395822,Northern Diamondback Terrapin,2020-06-29,"New Jersey, US","39.2278253872,-74.5650666435",turtlewatch,39.2278253872,-74.5650666435,female,adult,https://www.inaturalist.org/observations/51395822,2020
51397889,Northern Diamondback Terrapin,2020-06-29,"New Jersey, US","39.3675465567,-74.4143022927",turtlewatch,39.3675465567,-74.4143022927,female,adult,https://www.inaturalist.org/observations/51397889,2020
51399075,Northern Diamondback Terrapin,2020-06-29,"New Jersey, US","39.2759142622,-74.5311792515",turtlewatch,39.2759142622,-74.5311792515,female,adult,https://www.inaturalist.org/observations/51399075,2020
51399471,Northern Diamondback Terrapin,2020-06-29,"New Jersey, US","39.3714802576,-74.5624299468",turtlewatch,39.3714802576,-74.5624299468,female,adult,https://www.inaturalist.org/observations/51399471,2020
51401796,Northern Diamondback Terrapin,2020-06-29,"New Jersey, US","39.2253325394,-74.5298563951",jimharlan,39.2253325394,-74.5298563951,female,adult,https://www.inaturalist.org/observations/51401796,2020
51509675,Northern Diamondback Terrapin,2020-06-30,"New Jersey, US","39.246125185,-74.517777495",delaneyspano,39.246125185,-74.517777495,female,adult,https://www.inaturalist.org/observations/51509675,2020
51510619,Northern Diamondback Terrapin,2020-06-30,"New Jersey, US","39.2708913146,-74.4385682713",delaneyspano,39.2708913146,-74.4385682713,female,adult,https://www.inaturalist.org/observations/51510619,2020
51511211,Northern Diamondback Terrapin,2020-06-30,"New Jersey, US","39.3936897391,-74.5403910872",delaneyspano,39.3936897391,-74.5403910872,female,,https://www.inaturalist.org/observations/51511211,2020
51512544,Northern Diamondback Terrapin,2020-06-30,"New Jersey, US","39.3927286821,-74.5517819655",delaneyspano,39.3927286821,-74.5517819655,female,adult,https://www.inaturalist.org/observations/51512544,2020
